<string>베이스캠프에서
<string>소녀 노노를 구조한 헌터는 노노의<lf>오빠가 전와 차타카브라를 유인해<lf>사라졌다는 말을 듣는다. 헌터는<lf>차타카브라를 토벌하고 노노의 오빠<lf>이사이를 구조한다. 헌터는 이사이를<lf>데리고 조사의 거점이 되는<lf>베이스캠프로 돌아왔다.
<string>길드 동료와 대화하기
<string>조사대 본부 텐트에 들어가기
<string><COLOR FF0000>#Rejected#</COLOR> Mission001040_012
<string><COLOR FF0000>#Rejected#</COLOR> Mission001040_013
<string><COLOR FF0000>#Rejected#</COLOR> Mission001040_014
<string><COLOR FF0000>#Rejected#</COLOR> Mission001040_015
<string><COLOR FF0000>#Rejected#</COLOR> Mission001040_016
<string><COLOR FF0000>#Rejected#</COLOR> Mission001040_017
<string><REF Gimmick_NAME_m712692032>에 들어가기
<string><REF RefEnvironment_0001_0002>에 가기
<string><REF NpcName_NN_m1014093312>와 대화하기
